Info 225  [23:49:22.204] getCompletionData: Semantic work: 11
Info 226  [23:49:22.204] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0
Info 227  [23:49:23.296] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 228  [23:49:23.300] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 4ms
Info 229  [23:49:23.300] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 230  [23:49:23.300] getCompletionData: Get current token: 0
Info 231  [23:49:23.300] getCompletionData: Is inside comment: 0
Info 232  [23:49:23.300] getCompletionData: Get previous token 1: 0
Info 233  [23:49:23.300] getCompletionData: Get previous token 2: 0
Info 234  [23:49:23.301] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 235  [23:49:23.315] getCompletionData: Semantic work: 14
Info 236  [23:49:23.315] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0
Info 237  [23:49:23.437] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 238  [23:49:23.441] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 4ms
Info 239  [23:49:23.441] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 240  [23:49:23.441] getCompletionData: Get current token: 0
Info 241  [23:49:23.441] getCompletionData: Is inside comment: 0
Info 242  [23:49:23.441] getCompletionData: Get previous token 1: 0
Info 243  [23:49:23.441] getCompletionData: Get previous token 2: 0
Info 244  [23:49:23.442] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 245  [23:49:23.453] getCompletionData: Semantic work: 11
Info 246  [23:49:23.453] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0
Info 247  [23:49:23.594] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 248  [23:49:23.598] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 4ms
Info 249  [23:49:23.598] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 250  [23:49:23.599] getCompletionData: Get current token: 0
Info 251  [23:49:23.599] getCompletionData: Is inside comment: 0
Info 252  [23:49:23.599] getCompletionData: Get previous token 1: 0
Info 253  [23:49:23.599] getCompletionData: Get previous token 2: 0
Info 254  [23:49:23.599] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 255  [23:49:23.608] getCompletionData: Semantic work: 9
Info 256  [23:49:23.608] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0
Info 257  [23:49:56.472] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 258  [23:49:56.480] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 7ms
Info 259  [23:49:56.480] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 260  [23:49:56.961] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
